Date,Mid Price
2002-10-08,21.388
2002-10-09,21.944
2002-10-10,22.192
2002-10-11,22.901
2002-10-14,25.452
2002-10-15,27.766
2002-10-16,26.291
2002-10-17,26.313
2002-10-18,25.941
2002-10-21,25.588
2002-10-22,25.61
2002-10-23,25.106
2002-10-24,24.869
2002-10-25,24.983
2002-10-28,25.483
2002-10-29,25.751
2002-10-30,25.719
2002-10-31,25.7
2002-11-01,25.388
2002-11-04,25.526
2002-11-05,24.915
2002-11-06,25.49
2002-11-07,25.432
2002-11-08,25.311
2002-11-11,25.174
2002-11-12,26.014
2002-11-13,26.47
2002-11-14,26.21
2002-11-18,25.928
2002-11-19,25.466
2002-11-20,25.173
2002-11-21,25.789
2002-11-22,25.828
2002-11-25,25.183
2002-11-26,25.714
2002-11-27,25.709
2002-11-28,25.777
2002-11-29,24.877
2002-12-02,24.057
2002-12-03,27.14
2002-12-04,27.129
2002-12-05,27.372
2002-12-06,27.243
2002-12-09,27.458
2002-12-10,27.409
2002-12-11,27.211
2002-12-12,27.358
2002-12-13,27.357
2002-12-16,27.107
2002-12-17,26.746
2002-12-18,27.25
2002-12-19,26.879
2002-12-20,26.972
2002-12-23,27.163
2002-12-24,27.222
2002-12-26,27.345
2002-12-27,27.162
2002-12-30,27.389
2002-12-31,27.376
2003-01-02,26.813
2003-01-03,26.655
2003-01-06,25.86
2003-01-07,26.16
2003-01-08,25.83
2003-01-09,25.73
2003-01-10,25.328
2003-01-13,25.354
2003-01-14,25.327
2003-01-15,25.482
2003-01-16,25.409
2003-01-17,25.561
2003-01-20,25.667
2003-01-21,25.744
2003-01-22,25.996
2003-01-23,26.216
2003-01-24,27.046
2003-01-27,27.488
2003-01-28,27.222
2003-01-29,27.006
2003-01-30,27.028
2003-01-31,27.095
2003-02-03,27.13
2003-02-04,27.341
2003-02-05,27.303
2003-02-06,27.594
2003-02-07,27.642
2003-02-10,27.692
2003-02-11,27.622
2003-02-12,27.636
2003-02-13,28.375
2003-02-14,28.528
2003-02-17,28.37
2003-02-18,28.493
2003-02-19,28.825
2003-02-20,27.835
2003-02-21,27.768
2003-02-24,27.752
2003-02-25,27.713
2003-02-26,27.66
2003-02-27,27.724
2003-02-28,27.709
2003-03-05,27.69
2003-03-06,27.584
2003-03-07,27.628
2003-03-10,27.563
2003-03-11,27.394
2003-03-12,27.319
2003-03-13,26.946
2003-03-14,27.11
2003-03-17,27.239
2003-03-18,26.92
2003-03-19,27.444
2003-03-20,27.261
2003-03-21,27.493
2003-03-24,26.942
2003-03-25,27.109
2003-03-26,26.8
2003-03-27,26.702
2003-03-28,26.884
2003-03-31,26.781
2003-04-01,26.555
2003-04-02,26.313
2003-04-03,25.946
2003-04-04,25.878
2003-04-07,25.615
2003-04-08,25.791
2003-04-09,25.869
2003-04-10,26.207
2003-04-11,26.079
2003-04-14,26.057
2003-04-15,25.887
2003-04-16,25.808
2003-04-17,25.554
2003-04-22,25.477
2003-04-23,25.501
2003-04-24,25.579
2003-04-25,25.341
2003-04-28,25.067
2003-04-29,25.085
2003-04-30,25.284
2003-05-02,25.502
2003-05-05,25.5
2003-05-06,25.455
2003-05-07,25.206
2003-05-08,25.177
2003-05-09,25.351
2003-05-12,25.473
2003-05-13,25.244
2003-05-14,25.179
2003-05-15,25.368
2003-05-16,25.372
2003-05-19,25.267
2003-05-20,25.542
2003-05-21,25.502
2003-05-22,25.52
2003-05-23,25.768
2003-05-26,25.734
2003-05-27,25.685
2003-05-28,25.64
2003-05-29,25.64
2003-05-30,25.715
2003-06-02,25.833
2003-06-03,25.769
2003-06-04,25.47
2003-06-05,25.436
2003-06-06,25.413
2003-06-09,25.34
2003-06-10,25.396
2003-06-11,25.287
2003-06-12,25.141
2003-06-13,24.985
2003-06-16,24.933
2003-06-17,24.877
2003-06-18,24.916
2003-06-20,24.886
2003-06-23,24.76
2003-06-24,24.669
2003-06-25,24.619
2003-06-26,24.61
2003-06-27,24.514
2003-06-30,24.419
2003-07-01,24.246
2003-07-02,24.275
2003-07-03,24.074
2003-07-04,23.853
2003-07-07,23.836
2003-07-08,23.698
2003-07-09,23.658
2003-07-10,23.721
2003-07-11,23.76
2003-07-14,23.486
2003-07-15,23.494
2003-07-16,23.329
2003-07-17,23.279
2003-07-18,23.034
2003-07-21,22.854
2003-07-22,22.74
2003-07-23,23.016
2003-07-24,23.093
2003-07-25,23.134
2003-07-28,23.049
2003-07-29,23.052
2003-07-30,23.048
2003-07-31,22.962
2003-08-01,23.026
2003-08-04,23.408
2003-08-05,23.01
2003-08-06,22.92
2003-08-07,22.603
2003-08-08,22.536
2003-08-11,22.389
2003-08-12,22.376
2003-08-13,22.193
2003-08-14,21.951
2003-08-15,21.841
2003-08-18,21.671
2003-08-19,21.476
2003-08-20,20.46
2003-08-21,21.041
2003-08-22,20.847
2003-08-25,20.855
2003-08-26,20.688
2003-08-27,20.611
2003-08-28,20.546
2003-08-29,20.383
2003-09-01,20.273
2003-09-02,20.199
2003-09-03,20.183
2003-09-04,19.949
2003-09-05,19.75
2003-09-08,19.659
2003-09-09,19.558
2003-09-10,19.325
2003-09-11,19.16
2003-09-12,18.914
2003-09-15,18.597
2003-09-16,18.561
2003-09-17,18.314
2003-09-18,19.108
2003-09-19,19.029
2003-09-22,18.99
2003-09-23,19.004
2003-09-24,18.973
2003-09-25,19.046
2003-09-26,19.014
2003-09-29,18.883
2003-09-30,18.918
2003-10-01,18.886
2003-10-02,18.785
2003-10-03,18.728
2003-10-06,18.666
2003-10-07,18.677
2003-10-08,18.607
2003-10-09,18.531
2003-10-10,18.476
2003-10-13,18.411
2003-10-14,18.307
2003-10-15,18.278
2003-10-16,18.218
2003-10-17,18.271
2003-10-20,18.236
2003-10-21,18.145
2003-10-22,18.158
2003-10-23,18.293
2003-10-24,18.3
2003-10-27,18.279
2003-10-28,18.206
2003-10-29,18.256
2003-10-30,18.214
2003-10-31,18.122
2003-11-03,18.036
2003-11-04,18.033
2003-11-05,18.058
2003-11-06,17.952
2003-11-07,17.862
2003-11-10,17.76
2003-11-11,17.786
2003-11-12,17.704
2003-11-13,17.704
2003-11-14,17.637
2003-11-17,17.546
2003-11-18,17.46
2003-11-19,17.244
2003-11-20,16.799
2003-11-21,16.729
2003-11-24,16.663
