Date,Open,High,Low,Close,Volume
2000-07-11,1866.25,1866.25,1866.25,1866.25,41798000.0
2000-07-12,1910.99,1910.99,1910.99,1910.99,32414000.0
2000-07-13,1910.47,1910.47,1910.47,1910.47,33443000.0
2000-07-14,1932.44,1932.44,1932.44,1932.44,28707000.0
2000-07-17,1910.33,1910.33,1910.33,1910.33,35641000.0
2000-07-18,1891.11,1891.11,1891.11,1891.11,35084000.0
2000-07-19,1758.29,1758.29,1758.29,1758.29,106073000.0
2000-07-20,1778.1,1778.1,1778.1,1778.1,56043000.0
2000-07-21,1767.55,1767.55,1767.55,1767.55,65306000.0
2000-07-24,1749.92,1749.92,1749.92,1749.92,24998000.0
2000-07-25,1768.42,1768.42,1768.42,1768.42,46737000.0
2000-07-26,1757.54,1757.54,1757.54,1757.54,29154000.0
2000-07-27,1722.89,1722.89,1722.89,1722.89,32481000.0
2000-07-28,1667.17,1667.17,1667.17,1667.17,32577000.0
2000-07-31,1701.24,1701.24,1701.24,1701.24,30140000.0
2000-08-01,1707.05,1707.05,1707.05,1707.05,24368000.0
2000-08-02,1714.07,1714.07,1714.07,1714.07,22285000.0
2000-08-03,1696.86,1696.86,1696.86,1696.86,22797000.0
2000-08-04,1719.8,1719.8,1719.8,1719.8,11953000.0
2000-08-07,1739.57,1739.57,1739.57,1739.57,23972000.0
2000-08-08,1737.74,1737.74,1737.74,1737.74,21549000.0
2000-08-09,1707.25,1707.25,1707.25,1707.25,20883000.0
2000-08-10,1697.43,1697.43,1697.43,1697.43,11053000.0
2000-08-11,1716.1,1716.1,1716.1,1716.1,27120000.0
2000-08-14,1723.72,1723.72,1723.72,1723.72,15022000.0
2000-08-15,1727.46,1727.46,1727.46,1727.46,22514000.0
2000-08-16,1736.82,1736.82,1736.82,1736.82,26311000.0
2000-08-17,1750.35,1750.35,1750.35,1750.35,20856000.0
2000-08-18,1706.68,1706.68,1706.68,1706.68,19948000.0
2000-08-21,1688.97,1688.97,1688.97,1688.97,13582000.0
2000-08-22,1692.86,1692.86,1692.86,1692.86,23664000.0
2000-08-23,1690.58,1690.58,1690.58,1690.58,16802000.0
2000-08-24,1682.23,1682.23,1682.23,1682.23,16727000.0
2000-08-25,1658.2,1658.2,1658.2,1658.2,23168000.0
2000-08-28,1671.18,1671.18,1671.18,1671.18,16069000.0
2000-08-29,1683.39,1683.39,1683.39,1683.39,26053000.0
2000-08-30,1745.61,1745.61,1745.61,1745.61,41484000.0
2000-08-31,1768.99,1768.99,1768.99,1768.99,48248000.0
2000-09-01,1782.94,1782.94,1782.94,1782.94,37775000.0
2000-09-04,1806.34,1806.34,1806.34,1806.34,10312000.0
2000-09-05,1808.75,1808.75,1808.75,1808.75,27339000.0
2000-09-06,1793.56,1793.56,1793.56,1793.56,40424000.0
2000-09-07,1827.65,1827.65,1827.65,1827.65,51417000.0
2000-09-08,1806.93,1806.93,1806.93,1806.93,33968000.0
2000-09-11,1790.93,1790.93,1790.93,1790.93,33518000.0
2000-09-12,1762.16,1762.16,1762.16,1762.16,47278000.0
2000-09-13,1786.13,1786.13,1786.13,1786.13,35719000.0
2000-09-14,1787.68,1787.68,1787.68,1787.68,42505000.0
