Date,Open,High,Low,Close,Volume
2016-09-19,1609.01,1644.23,1608.47,1621.81,229419600.0
2016-09-20,1625.98,1642.37,1625.98,1640.18,251225200.0
2016-09-21,1640.4,1682.67,1630.76,1660.0,323409312.0
2016-09-22,1688.1,1720.03,1676.8,1698.11,284169216.0
2016-09-23,1693.43,1697.82,1663.05,1677.3,246319904.0
2016-09-26,1670.4,1671.32,1643.72,1653.23,186014000.0
2016-09-27,1662.53,1670.82,1631.61,1659.75,250010400.0
2016-09-28,1657.16,1704.64,1655.24,1683.45,281800704.0
2016-09-29,1695.91,1706.88,1644.8,1670.23,280369504.0
2016-09-30,1661.29,1674.82,1651.71,1655.73,256422592.0
2016-10-03,1657.93,1708.66,1657.3,1693.03,247634000.0
2016-10-04,1700.37,1704.51,1665.3,1691.84,371710208.0
2016-10-05,1682.05,1722.82,1682.05,1710.68,303113504.0
2016-10-06,1711.84,1730.39,1702.84,1721.62,312148192.0
2016-10-07,1741.93,1753.61,1716.32,1739.78,369806784.0
2016-10-10,1749.76,1768.49,1748.95,1759.64,267766800.0
2016-10-11,1760.01,1761.34,1737.06,1740.32,336237888.0
2016-10-12,1752.24,1752.24,1752.24,1752.24,
2016-10-13,1746.26,1767.92,1721.67,1744.15,457526592.0
2016-10-14,1768.85,1793.46,1766.7,1774.55,356870304.0
2016-10-17,1770.64,1798.89,1768.28,1798.89,317062592.0
2016-10-18,1803.72,1843.66,1802.33,1837.48,390287616.0
2016-10-19,1833.51,1853.29,1830.53,1838.06,325813088.0
2016-10-20,1842.59,1867.41,1817.86,1850.01,301480288.0
2016-10-21,1856.71,1867.39,1840.51,1859.71,293854688.0
2016-10-24,1871.31,1899.16,1871.31,1875.05,279080512.0
2016-10-25,1883.38,1891.62,1853.64,1874.77,321164192.0
2016-10-26,1873.77,1881.45,1849.0,1879.15,378589312.0
2016-10-27,1864.56,1891.77,1858.37,1867.49,323731712.0
2016-10-28,1852.59,1869.0,1828.5,1859.77,303119296.0
2016-10-31,1853.66,1882.26,1853.66,1882.26,328067488.0
2016-11-01,1867.24,1876.76,1777.13,1795.22,381852192.0
2016-11-02,1793.81,1793.81,1793.81,1793.81,
2016-11-03,1799.74,1805.27,1745.85,1748.68,353406400.0
2016-11-04,1741.29,1780.81,1733.32,1745.07,327728096.0
2016-11-07,1758.08,1835.1,1758.08,1833.52,284576288.0
2016-11-08,1831.65,1871.28,1810.92,1840.16,273878688.0
2016-11-09,1814.78,1833.56,1749.63,1791.09,462960192.0
2016-11-10,1770.94,1780.81,1638.42,1656.77,657943488.0
2016-11-11,1623.46,1656.44,1544.03,1552.2,684238720.0
2016-11-14,1566.9,1597.07,1544.74,1574.04,458164096.0
2016-11-15,1587.18,1587.18,1587.18,1587.18,
2016-11-16,1594.11,1631.17,1576.87,1623.82,431877184.0
2016-11-17,1636.29,1651.05,1594.29,1603.64,329498496.0
2016-11-18,1600.05,1628.52,1597.58,1614.71,305658400.0
2016-11-21,1633.3,1664.74,1633.12,1661.94,315544096.0
2016-11-22,1668.82,1704.99,1662.11,1682.3,355540000.0
2016-11-23,1671.29,1672.75,1638.89,1653.09,279389312.0
2016-11-24,1661.92,1665.2,1646.98,1649.8,114728704.0
2016-11-25,1625.35,1644.45,1603.08,1640.58,221339200.0
