Date,Bid Price
2013-07-31,6.938
2013-08-01,6.95
2013-08-02,6.82
2013-08-05,6.763
2013-08-06,6.782
2013-08-08,6.748
2013-08-09,6.794
2013-08-12,6.87
2013-08-13,6.96
2013-08-14,6.992
2013-08-15,7.129
2013-08-16,7.196
2013-08-20,7.241
2013-08-21,7.21
2013-08-22,7.151
2013-08-23,7.115
2013-08-26,7.105
2013-08-27,7.194
2013-08-28,7.24
2013-08-29,7.334
2013-08-30,7.302
2013-09-02,7.304
2013-09-03,7.366
2013-09-04,7.411
2013-09-05,7.362
2013-09-06,7.339
2013-09-09,7.315
2013-09-10,7.295
2013-09-11,7.199
2013-09-12,6.944
2013-09-13,6.916
2013-09-16,6.976
2013-09-17,7.047
2013-09-18,7.071
2013-09-19,6.832
2013-09-20,6.756
2013-09-23,6.847
2013-09-24,6.88
2013-09-25,6.747
2013-09-26,6.749
2013-09-27,6.788
2013-09-30,6.868
2013-10-01,6.915
2013-10-02,6.916
2013-10-03,6.924
2013-10-04,6.83
2013-10-07,6.846
2013-10-08,6.809
2013-10-09,6.862
2013-10-10,6.843
2013-10-11,6.805
2013-10-15,6.808
2013-10-16,6.797
2013-10-17,6.723
2013-10-18,6.617
2013-10-21,6.657
2013-10-22,6.633
2013-10-23,6.532
2013-10-24,6.497
2013-10-25,6.503
2013-10-28,6.546
2013-10-29,6.571
2013-10-30,6.49
2013-10-31,6.575
2013-11-01,6.85
2013-11-05,6.978
2013-11-06,6.946
2013-11-07,6.992
2013-11-08,7.001
2013-11-12,7.298
2013-11-13,7.212
2013-11-14,7.149
2013-11-15,6.954
2013-11-19,6.912
2013-11-20,6.962
2013-11-21,7.024
2013-11-22,6.876
2013-11-25,6.88
2013-11-26,6.672
2013-11-27,6.752
2013-11-28,6.742
2013-11-29,6.749
2013-12-02,6.832
2013-12-03,6.812
2013-12-04,6.889
2013-12-05,6.84
2013-12-06,6.732
2013-12-09,6.676
2013-12-10,6.691
2013-12-11,6.753
2013-12-12,6.759
2013-12-13,6.754
2013-12-16,6.735
2013-12-17,6.715
2013-12-18,6.741
2013-12-19,6.741
2013-12-20,6.658
2013-12-23,6.625
2013-12-24,6.664
2013-12-26,6.766
2013-12-27,6.773
2013-12-31,6.769
2014-01-02,6.778
2014-01-03,6.789
2014-01-07,6.784
2014-01-08,6.794
2014-01-09,6.796
2014-01-10,6.707
2014-01-13,6.681
2014-01-14,6.716
2014-01-15,6.726
2014-01-16,6.773
2014-01-17,6.797
2014-01-21,6.874
2014-01-22,6.884
2014-01-23,6.93
2014-01-24,6.954
2014-01-27,6.962
2014-01-28,6.917
2014-01-29,7.016
2014-01-30,7.084
2014-01-31,7.095
2014-02-03,7.159
2014-02-04,7.142
2014-02-05,7.146
2014-02-06,7.119
2014-02-07,7.081
2014-02-10,7.08
2014-02-11,7.062
2014-02-12,7.085
2014-02-13,7.117
2014-02-14,7.064
2014-02-17,7.051
2014-02-18,7.107
2014-02-19,7.131
2014-02-20,7.251
2014-02-21,7.251
2014-02-24,7.278
2014-02-25,7.19
2014-02-26,7.287
2014-02-27,7.235
2014-02-28,7.221
2014-03-03,7.234
2014-03-04,7.226
2014-03-05,7.17
2014-03-06,7.085
2014-03-07,7.159
2014-03-10,7.175
2014-03-11,7.147
2014-03-12,7.145
2014-03-13,7.157
2014-03-14,7.141
2014-03-17,7.122
2014-03-18,7.114
2014-03-19,6.89
2014-03-20,6.706
2014-03-21,6.675
2014-03-25,6.667
2014-03-26,6.514
2014-03-27,6.426
2014-03-28,6.429
2014-03-31,6.472
2014-04-01,6.473
2014-04-02,6.352
2014-04-03,6.413
2014-04-04,6.403
2014-04-07,6.251
2014-04-08,6.216
2014-04-09,6.12
2014-04-10,6.16
2014-04-11,6.243
2014-04-14,6.251
2014-04-15,6.261
2014-04-16,6.245
2014-04-21,6.218
2014-04-22,6.241
2014-04-23,6.267
2014-04-24,6.285
2014-04-25,6.29
2014-04-28,6.415
2014-04-29,6.413
2014-04-30,6.431
2014-05-02,6.401
2014-05-05,6.397
2014-05-06,6.412
2014-05-07,6.304
2014-05-08,6.204
2014-05-09,6.201
2014-05-12,6.282
2014-05-13,6.323
2014-05-14,6.324
2014-05-15,6.376
2014-05-16,6.362
2014-05-19,6.355
2014-05-20,6.289
2014-05-21,6.28
2014-05-22,6.21
2014-05-23,6.247
2014-05-27,6.275
2014-05-28,6.294
2014-05-29,6.248
2014-05-30,6.265
2014-06-03,6.345
2014-06-04,6.398
2014-06-05,6.405
2014-06-06,6.368
2014-06-09,6.27
2014-06-10,6.311
2014-06-11,6.328
2014-06-12,6.289
2014-06-13,6.318
2014-06-16,6.34
2014-06-17,6.596
2014-06-18,6.564
2014-06-19,6.494
2014-06-20,6.485
2014-06-24,6.48
2014-06-25,6.516
2014-06-26,6.562
2014-06-27,6.559
2014-07-01,6.538
2014-07-02,6.568
2014-07-03,6.542
2014-07-04,6.523
2014-07-07,6.461
2014-07-08,6.486
2014-07-09,6.562
2014-07-10,6.557
2014-07-11,6.523
2014-07-14,6.536
2014-07-15,6.571
2014-07-16,6.566
2014-07-17,6.577
2014-07-18,6.57
2014-07-21,6.542
2014-07-22,6.516
2014-07-23,6.518
2014-07-24,6.525
2014-07-25,6.459
2014-07-28,6.454
2014-07-29,6.51
2014-07-30,6.662
2014-07-31,6.693
2014-08-01,6.672
2014-08-04,6.665
2014-08-05,6.697
2014-08-06,6.7
2014-08-08,6.723
2014-08-11,6.7
2014-08-12,6.696
2014-08-13,6.699
2014-08-14,6.693
2014-08-15,6.662
2014-08-19,6.632
2014-08-20,6.659
2014-08-21,6.657
2014-08-22,6.61
2014-08-25,6.59
2014-08-26,6.575
2014-08-27,6.475
2014-08-28,6.443
2014-08-29,6.461
2014-09-01,6.43
2014-09-02,6.493
2014-09-03,6.484
2014-09-04,6.479
2014-09-05,6.421
2014-09-08,6.454
2014-09-09,6.557
2014-09-10,6.568
2014-09-11,6.568
2014-09-12,6.63
2014-09-15,6.636
2014-09-16,6.596
2014-09-17,6.585
2014-09-18,6.583
2014-09-19,6.551
2014-09-22,6.601
2014-09-23,6.595
2014-09-24,6.595
2014-09-25,6.689
2014-09-26,6.692
2014-09-29,6.865
2014-09-30,6.849
2014-10-01,6.798
2014-10-02,6.727
2014-10-03,6.737
2014-10-06,6.715
2014-10-07,6.715
2014-10-08,6.748
2014-10-09,6.726
2014-10-10,6.749
2014-10-14,6.713
2014-10-15,6.693
2014-10-16,6.721
2014-10-17,6.665
2014-10-20,6.644
2014-10-21,6.609
2014-10-22,6.614
2014-10-23,6.653
2014-10-24,6.631
2014-10-27,6.648
2014-10-28,6.629
2014-10-29,6.599
2014-10-30,6.6
2014-10-31,6.582
2014-11-04,6.589
2014-11-05,6.558
2014-11-06,6.529
2014-11-07,6.49
2014-11-10,6.512
2014-11-11,6.513
2014-11-12,6.464
2014-11-13,6.457
2014-11-14,6.576
2014-11-18,6.548
2014-11-19,6.527
2014-11-20,6.492
2014-11-21,6.461
2014-11-24,6.455
2014-11-25,6.451
2014-11-26,6.473
2014-11-27,6.469
2014-11-28,6.576
2014-12-01,6.547
2014-12-02,6.605
2014-12-03,6.639
2014-12-04,6.705
2014-12-05,6.805
2014-12-09,6.948
2014-12-10,7.213
2014-12-11,7.115
2014-12-12,7.144
2014-12-15,7.18
2014-12-16,7.335
2014-12-17,7.228
2014-12-19,7.086
2014-12-22,7.085
2014-12-23,7.128
2014-12-24,7.123
2014-12-26,7.134
2014-12-29,7.138
2014-12-30,7.1
2015-01-02,7.098
2015-01-05,7.128
2015-01-06,7.155
2015-01-07,7.149
2015-01-08,6.9
2015-01-09,6.926
2015-01-13,6.957
2015-01-14,6.922
2015-01-15,6.785
2015-01-16,6.735
2015-01-19,6.737
2015-01-20,6.704
2015-01-21,6.671
2015-01-22,6.595
2015-01-23,6.52
2015-01-26,6.533
2015-01-27,6.523
2015-01-28,6.52
2015-01-29,6.544
2015-01-30,6.522
2015-02-02,6.471
2015-02-03,6.41
2015-02-04,6.51
2015-02-05,6.49
2015-02-06,6.58
2015-02-09,6.638
2015-02-10,6.691
2015-02-11,6.728
2015-02-12,6.669
2015-02-13,6.605
2015-02-16,6.593
2015-02-17,6.592
2015-02-18,6.702
2015-02-19,6.658
2015-02-20,6.642
2015-02-23,6.64
2015-02-24,6.565
2015-02-25,6.482
2015-02-26,6.517
2015-02-27,6.535
2015-03-02,6.595
2015-03-03,6.695
2015-03-04,6.686
2015-03-05,6.676
2015-03-06,6.877
2015-03-09,6.96
2015-03-10,7.0
2015-03-11,6.993
2015-03-12,6.982
2015-03-13,7.037
2015-03-16,7.046
2015-03-17,6.994
2015-03-18,6.856
2015-03-19,6.877
2015-03-20,6.83
2015-03-24,6.78
2015-03-25,6.804
2015-03-26,6.955
2015-03-27,6.992
2015-03-30,7.031
2015-03-31,6.994
2015-04-01,6.957
2015-04-06,6.842
2015-04-07,6.824
2015-04-08,6.765
2015-04-09,6.794
2015-04-10,6.797
2015-04-13,6.787
2015-04-14,6.788
2015-04-15,6.76
2015-04-16,6.705
2015-04-17,6.729
2015-04-20,6.751
2015-04-21,6.733
2015-04-22,6.774
2015-04-23,6.758
2015-04-24,6.689
2015-04-27,6.706
2015-04-28,6.722
2015-04-29,6.699
2015-04-30,6.727
2015-05-04,6.805
2015-05-05,6.854
2015-05-06,6.89
2015-05-07,6.867
2015-05-08,6.805
2015-05-11,6.883
2015-05-12,6.926
2015-05-13,6.939
2015-05-14,6.918
2015-05-15,6.876
2015-05-19,6.909
2015-05-20,6.915
2015-05-21,6.898
2015-05-22,6.908
2015-05-25,6.91
2015-05-26,6.936
2015-05-27,6.923
2015-05-28,6.904
2015-05-29,6.886
2015-06-01,6.938
2015-06-02,6.955
2015-06-03,7.016
2015-06-04,7.043
2015-06-05,7.073
2015-06-09,7.086
2015-06-10,7.102
2015-06-11,7.096
2015-06-12,7.093
2015-06-16,7.087
2015-06-17,7.168
2015-06-18,7.137
2015-06-19,7.121
2015-06-22,7.144
2015-06-23,7.138
2015-06-24,7.166
2015-06-25,7.227
2015-06-26,7.236
2015-06-30,7.216
2015-07-01,7.27
2015-07-02,7.26
2015-07-03,7.268
2015-07-06,7.273
2015-07-07,7.26
2015-07-08,7.25
2015-07-09,7.246
2015-07-10,7.267
2015-07-13,7.276
2015-07-14,7.249
2015-07-15,7.237
2015-07-16,7.217
2015-07-17,7.241
2015-07-21,7.228
2015-07-22,7.125
2015-07-23,7.118
2015-07-24,7.163
2015-07-27,7.169
2015-07-28,7.147
2015-07-29,7.134
2015-07-30,7.136
2015-07-31,7.127
2015-08-03,7.198
2015-08-04,7.228
2015-08-05,7.273
2015-08-06,7.358
2015-08-10,7.357
2015-08-11,7.331
2015-08-12,7.296
2015-08-13,7.809
2015-08-14,7.803
2015-08-18,7.816
2015-08-19,7.809
2015-08-20,7.817
2015-08-21,7.965
2015-08-24,8.054
2015-08-25,8.156
2015-08-26,8.231
2015-08-27,8.195
2015-08-28,8.153
2015-08-31,8.15
2015-09-01,8.216
2015-09-02,8.337
2015-09-03,8.323
